date,iqa,Bel Air,Cathédrale,HLM,Guédiawaye,Médina,Yoff
2019-04-29T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-04-30T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-05-02T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-05-08T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-05-09T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-05-15T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-05-16T00:00:00.000Z,MOYEN,,,MOYEN,,,
2019-05-20T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-05-24T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-05-28T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-05-29T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-05-31T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-03T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-06-06T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-11T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-12T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-13T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-17T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-19T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-20T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-24T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-06-25T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-26T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-27T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-06-28T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-01T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-07-02T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-07-03T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-05T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-08T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-09T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-10T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-11T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-15T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-16T00:00:00.000Z,MOYEN,,,,,,
2019-07-17T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-07-19T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-07-22T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-24T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-25T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-07-26T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2019-07-31T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-08-05T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-08-08T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-08-09T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2019-09-09T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
